MemCellType,numRowSubArray/numColSubArray,Layer1,Layer2,Layer3,Layer4,Layer5,Layer6,Layer 7,Layer8
1,64,115856,59506.9,14080.5,18566.1,3770.99,5823.23,511.891,263.055
1,128,115881,43602.3,10388.2,14888.6,3040.21,4985.8,500.454,263.686
1,256,96024.5,34244,8228.72,12756.4,2619.3,4514.48,473.322,264.463
1,512,54448.8,31679.4,7670.93,12590.9,2596.23,4622.81,454.904,285.101
1,1024,49402.8,40505.7,9870.65,16888.5,3494.3,6360.19,614.64,404.225
2,64,113814,58458.1,13832.3,18238.8,3704.53,5720.6,502.869,258.419
2,128,113758,42803.6,10197.9,14615.8,2984.52,4894.46,491.286,258.856
2,256,94139.1,33571.6,8067.15,12505.9,2567.87,4425.84,464.029,259.27
2,512,49557.4,28833.4,6981.81,11459.8,2363,4207.52,414.038,259.489
2,1024,32051,26278.8,6403.78,10956.7,2267,4126.3,398.76,262.249
